rand_order,run_index,date,operator,body_h_cm,step_len_cm,speed_cm_per_s,speed_m_per_s,foot_lift_cm,distance_m,time_s,avg_voltage_V,avg_current_A,energy_Wh,avg_power_W,CoT,Wh_per_m,SOC_start_percent,SOC_end_percent,temp_C,notes
1,28,,,25,30,30,0.3,8,,,,,,,,,,,,
2,41,,,30,30,5,0.05,8,,,,,,,,,,,,
3,27,,,25,30,20,0.2,8,,,,,,,,,,,,
4,44,,,30,30,30,0.3,8,,,,,,,,,,,,
5,25,,,25,30,5,0.05,8,,,,,,,,,,,,
6,38,,,30,20,10,0.1,8,,,,,,,,,,,,
7,13,,,20,40,5,0.05,8,,,,,,,,,,,,
8,20,,,25,15,30,0.3,8,,,,,,,,,,,,
9,5,,,20,20,5,0.05,8,,,,,,,,,,,,
10,26,,,25,30,10,0.1,8,,,,,,,,,,,,
11,9,,,20,30,5,0.05,8,,,,,,,,,,,,
12,4,,,20,15,30,0.3,8,,,,,,,,,,,,
13,7,,,20,20,20,0.2,8,,,,,,,,,,,,
14,40,,,30,20,30,0.3,8,,,,,,,,,,,,
15,34,,,30,15,10,0.1,8,,,,,,,,,,,,
16,14,,,20,40,10,0.1,8,,,,,,,,,,,,
17,18,,,25,15,10,0.1,8,,,,,,,,,,,,
18,46,,,30,40,10,0.1,8,,,,,,,,,,,,
19,16,,,20,40,30,0.3,8,,,,,,,,,,,,
20,10,,,20,30,10,0.1,8,,,,,,,,,,,,
21,17,,,25,15,5,0.05,8,,,,,,,,,,,,
22,30,,,25,40,10,0.1,8,,,,,,,,,,,,
23,33,,,30,15,5,0.05,8,,,,,,,,,,,,
24,47,,,30,40,20,0.2,8,,,,,,,,,,,,
25,1,,,20,15,5,0.05,8,,,,,,,,,,,,
26,32,,,25,40,30,0.3,8,,,,,,,,,,,,
27,31,,,25,40,20,0.2,8,,,,,,,,,,,,
28,6,,,20,20,10,0.1,8,,,,,,,,,,,,
29,12,,,20,30,30,0.3,8,,,,,,,,,,,,
30,35,,,30,15,20,0.2,8,,,,,,,,,,,,
31,2,,,20,15,10,0.1,8,,,,,,,,,,,,
32,45,,,30,40,5,0.05,8,,,,,,,,,,,,
33,22,,,25,20,10,0.1,8,,,,,,,,,,,,
34,3,,,20,15,20,0.2,8,,,,,,,,,,,,
35,37,,,30,20,5,0.05,8,,,,,,,,,,,,
36,36,,,30,15,30,0.3,8,,,,,,,,,,,,
37,24,,,25,20,30,0.3,8,,,,,,,,,,,,
38,42,,,30,30,10,0.1,8,,,,,,,,,,,,
39,11,,,20,30,20,0.2,8,,,,,,,,,,,,
40,23,,,25,20,20,0.2,8,,,,,,,,,,,,
41,19,,,25,15,20,0.2,8,,,,,,,,,,,,
42,48,,,30,40,30,0.3,8,,,,,,,,,,,,
43,21,,,25,20,5,0.05,8,,,,,,,,,,,,
44,8,,,20,20,30,0.3,8,,,,,,,,,,,,
45,43,,,30,30,20,0.2,8,,,,,,,,,,,,
46,15,,,20,40,20,0.2,8,,,,,,,,,,,,
47,29,,,25,40,5,0.05,8,,,,,,,,,,,,
48,39,,,30,20,20,0.2,8,,,,,,,,,,,,
